sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_GE_204550.1743__WNT5A_4	0Safe_safe_GE__WNT5A	52	62	116	136
0Safe_safe_GE_204550.1816__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_GE	27	35	45	47
0Safe_safe_GE_204550.1816__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_GE	92	106	131	178
0Safe_safe_GE_204550.1816__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_GE	130	122	195	261
0Safe_safe_GE_204550.1816__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_GE	47	55	88	95
0Safe_safe_GE_204550.1816__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_GE	48	40	121	123
0Safe_safe_GE_204550.1816__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_GE	21	32	71	67
0Safe_safe_GE_204550.1816__0Safe_safe_MP_204550.1197	0Safe_safe_GE__0Safe_safe_MP	42	39	57	86
0Safe_safe_GE_204550.1816__0Safe_safe_MP_204550.1296	0Safe_safe_GE__0Safe_safe_MP	31	21	51	79
0Safe_safe_GE_204550.1816__0Safe_safe_MP_204550.1323	0Safe_safe_GE__0Safe_safe_MP	119	108	190	226
0Safe_safe_GE_204550.1816__0Safe_safe_U3_204550.6027	0Safe_safe_GE__0Safe_safe_U3	21	19	31	46
0Safe_safe_GE_204550.1816__CDK2_1	0Safe_safe_GE__CDK2	122	104	124	139
0Safe_safe_GE_204550.1816__CDK2_2	0Safe_safe_GE__CDK2	89	100	142	123
0Safe_safe_GE_204550.1816__CDK2_3	0Safe_safe_GE__CDK2	82	94	119	158
0Safe_safe_GE_204550.1816__CDK2_4	0Safe_safe_GE__CDK2	155	151	243	261
0Safe_safe_GE_204550.1816__CTNNB1_1	0Safe_safe_GE__CTNNB1	50	56	99	107
0Safe_safe_GE_204550.1816__CTNNB1_2	0Safe_safe_GE__CTNNB1	38	41	97	107
0Safe_safe_GE_204550.1816__CTNNB1_3	0Safe_safe_GE__CTNNB1	46	50	108	148
0Safe_safe_GE_204550.1816__CTNNB1_4	0Safe_safe_GE__CTNNB1	95	82	152	195
0Safe_safe_GE_204550.1816__ETF1_1	0Safe_safe_GE__ETF1	63	67	37	52
0Safe_safe_GE_204550.1816__ETF1_2	0Safe_safe_GE__ETF1	71	83	60	92
0Safe_safe_GE_204550.1816__ETF1_3	0Safe_safe_GE__ETF1	29	26	31	40
0Safe_safe_GE_204550.1816__ETF1_4	0Safe_safe_GE__ETF1	52	57	103	134
0Safe_safe_GE_204550.1816__EZH2_1	0Safe_safe_GE__EZH2	38	54	99	122
0Safe_safe_GE_204550.1816__EZH2_2	0Safe_safe_GE__EZH2	82	95	137	165
0Safe_safe_GE_204550.1816__EZH2_3	0Safe_safe_GE__EZH2	96	107	160	206
0Safe_safe_GE_204550.1816__EZH2_4	0Safe_safe_GE__EZH2	61	62	122	141
0Safe_safe_GE_204550.1816__HSP90B1_1	0Safe_safe_GE__HSP90B1	98	92	133	176
0Safe_safe_GE_204550.1816__HSP90B1_2	0Safe_safe_GE__HSP90B1	89	113	133	154
0Safe_safe_GE_204550.1816__HSP90B1_3	0Safe_safe_GE__HSP90B1	43	50	86	103
0Safe_safe_GE_204550.1816__HSP90B1_4	0Safe_safe_GE__HSP90B1	33	33	58	71
0Safe_safe_GE_204550.1816__IGF1R_1	0Safe_safe_GE__IGF1R	79	86	85	120
0Safe_safe_GE_204550.1816__IGF1R_2	0Safe_safe_GE__IGF1R	97	73	154	197
0Safe_safe_GE_204550.1816__IGF1R_3	0Safe_safe_GE__IGF1R	242	230	298	349
0Safe_safe_GE_204550.1816__IGF1R_4	0Safe_safe_GE__IGF1R	42	35	46	63
0Safe_safe_GE_204550.1816__MAPK13_1	0Safe_safe_GE__MAPK13	237	244	401	513
0Safe_safe_GE_204550.1816__MAPK13_2	0Safe_safe_GE__MAPK13	73	71	118	128
0Safe_safe_GE_204550.1816__MAPK13_3	0Safe_safe_GE__MAPK13	131	139	269	343
0Safe_safe_GE_204550.1816__MAPK13_4	0Safe_safe_GE__MAPK13	68	84	139	148
0Safe_safe_GE_204550.1816__TRIB2_1	0Safe_safe_GE__TRIB2	76	76	150	209
0Safe_safe_GE_204550.1816__TRIB2_2	0Safe_safe_GE__TRIB2	59	63	98	111
0Safe_safe_GE_204550.1816__TRIB2_3	0Safe_safe_GE__TRIB2	141	129	232	303
0Safe_safe_GE_204550.1816__TRIB2_4	0Safe_safe_GE__TRIB2	71	73	135	151
0Safe_safe_GE_204550.1816__ULK1_1	0Safe_safe_GE__ULK1	40	43	67	70
0Safe_safe_GE_204550.1816__ULK1_2	0Safe_safe_GE__ULK1	103	85	113	130
0Safe_safe_GE_204550.1816__ULK1_3	0Safe_safe_GE__ULK1	55	56	84	115
0Safe_safe_GE_204550.1816__ULK1_4	0Safe_safe_GE__ULK1	108	122	193	169
0Safe_safe_GE_204550.1816__WNT5A_1	0Safe_safe_GE__WNT5A	131	120	164	186
0Safe_safe_GE_204550.1816__WNT5A_2	0Safe_safe_GE__WNT5A	117	91	210	221
0Safe_safe_GE_204550.1816__WNT5A_3	0Safe_safe_GE__WNT5A	75	82	104	141
0Safe_safe_GE_204550.1816__WNT5A_4	0Safe_safe_GE__WNT5A	93	75	155	209
0Safe_safe_MP_204550.1197__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_MP	16	21	19	43
0Safe_safe_MP_204550.1197__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_MP	36	46	62	99
0Safe_safe_MP_204550.1197__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_MP	75	60	117	133
0Safe_safe_MP_204550.1197__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_MP	35	28	60	62
0Safe_safe_MP_204550.1197__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_MP	29	30	44	49
0Safe_safe_MP_204550.1197__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_MP	17	14	30	46
0Safe_safe_MP_204550.1197__0Safe_safe_MP_204550.1197	0Safe_safe_MP__0Safe_safe_MP	15	17	41	36
0Safe_safe_MP_204550.1197__0Safe_safe_MP_204550.1296	0Safe_safe_MP__0Safe_safe_MP	13	7	30	36
0Safe_safe_MP_204550.1197__0Safe_safe_MP_204550.1323	0Safe_safe_MP__0Safe_safe_MP	70	73	136	165
0Safe_safe_MP_204550.1197__0Safe_safe_U3_204550.6027	0Safe_safe_MP__0Safe_safe_U3	16	11	20	26
0Safe_safe_MP_204550.1197__CDK2_1	0Safe_safe_MP__CDK2	58	63	67	86
0Safe_safe_MP_204550.1197__CDK2_2	0Safe_safe_MP__CDK2	52	45	86	81
0Safe_safe_MP_204550.1197__CDK2_3	0Safe_safe_MP__CDK2	60	60	82	79
0Safe_safe_MP_204550.1197__CDK2_4	0Safe_safe_MP__CDK2	93	84	114	144
0Safe_safe_MP_204550.1197__CTNNB1_1	0Safe_safe_MP__CTNNB1	35	30	45	64
0Safe_safe_MP_204550.1197__CTNNB1_2	0Safe_safe_MP__CTNNB1	34	26	50	63
0Safe_safe_MP_204550.1197__CTNNB1_3	0Safe_safe_MP__CTNNB1	29	28	52	61
0Safe_safe_MP_204550.1197__CTNNB1_4	0Safe_safe_MP__CTNNB1	66	54	78	110
0Safe_safe_MP_204550.1197__ETF1_1	0Safe_safe_MP__ETF1	39	47	32	45
0Safe_safe_MP_204550.1197__ETF1_2	0Safe_safe_MP__ETF1	53	52	38	54
0Safe_safe_MP_204550.1197__ETF1_3	0Safe_safe_MP__ETF1	14	16	33	38
0Safe_safe_MP_204550.1197__ETF1_4	0Safe_safe_MP__ETF1	38	27	62	66
0Safe_safe_MP_204550.1197__EZH2_1	0Safe_safe_MP__EZH2	34	28	58	60
0Safe_safe_MP_204550.1197__EZH2_2	0Safe_safe_MP__EZH2	54	60	88	111
0Safe_safe_MP_204550.1197__EZH2_3	0Safe_safe_MP__EZH2	74	71	118	131
0Safe_safe_MP_204550.1197__EZH2_4	0Safe_safe_MP__EZH2	36	37	60	86
0Safe_safe_MP_204550.1197__HSP90B1_1	0Safe_safe_MP__HSP90B1	59	72	78	102
0Safe_safe_MP_204550.1197__HSP90B1_2	0Safe_safe_MP__HSP90B1	73	69	79	96
0Safe_safe_MP_204550.1197__HSP90B1_3	0Safe_safe_MP__HSP90B1	35	35	41	56
0Safe_safe_MP_204550.1197__HSP90B1_4	0Safe_safe_MP__HSP90B1	20	18	27	38
0Safe_safe_MP_204550.1197__IGF1R_1	0Safe_safe_MP__IGF1R	58	49	53	80
0Safe_safe_MP_204550.1197__IGF1R_2	0Safe_safe_MP__IGF1R	49	42	79	89
0Safe_safe_MP_204550.1197__IGF1R_3	0Safe_safe_MP__IGF1R	131	123	161	230
0Safe_safe_MP_204550.1197__IGF1R_4	0Safe_safe_MP__IGF1R	27	18	25	27
0Safe_safe_MP_204550.1197__MAPK13_1	0Safe_safe_MP__MAPK13	175	142	232	290
0Safe_safe_MP_204550.1197__MAPK13_2	0Safe_safe_MP__MAPK13	61	43	80	86
0Safe_safe_MP_204550.1197__MAPK13_3	0Safe_safe_MP__MAPK13	84	84	141	154
0Safe_safe_MP_204550.1197__MAPK13_4	0Safe_safe_MP__MAPK13	33	36	58	64
0Safe_safe_MP_204550.1197__TRIB2_1	0Safe_safe_MP__TRIB2	44	45	73	86
0Safe_safe_MP_204550.1197__TRIB2_2	0Safe_safe_MP__TRIB2	53	36	72	69
0Safe_safe_MP_204550.1197__TRIB2_3	0Safe_safe_MP__TRIB2	80	79	115	169
0Safe_safe_MP_204550.1197__TRIB2_4	0Safe_safe_MP__TRIB2	52	49	77	97
0Safe_safe_MP_204550.1197__ULK1_1	0Safe_safe_MP__ULK1	28	29	45	40
0Safe_safe_MP_204550.1197__ULK1_2	0Safe_safe_MP__ULK1	38	45	47	60
0Safe_safe_MP_204550.1197__ULK1_3	0Safe_safe_MP__ULK1	25	28	41	45
0Safe_safe_MP_204550.1197__ULK1_4	0Safe_safe_MP__ULK1	52	77	97	146
0Safe_safe_MP_204550.1197__WNT5A_1	0Safe_safe_MP__WNT5A	66	68	100	123
0Safe_safe_MP_204550.1197__WNT5A_2	0Safe_safe_MP__WNT5A	55	75	96	129
0Safe_safe_MP_204550.1197__WNT5A_3	0Safe_safe_MP__WNT5A	42	56	83	70
0Safe_safe_MP_204550.1197__WNT5A_4	0Safe_safe_MP__WNT5A	43	50	92	117
0Safe_safe_MP_204550.1296__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_MP	32	37	85	67
0Safe_safe_MP_204550.1296__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_MP	79	90	120	147
0Safe_safe_MP_204550.1296__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_MP	114	118	189	232
0Safe_safe_MP_204550.1296__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_MP	36	50	91	96
0Safe_safe_MP_204550.1296__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_MP	60	37	72	99
0Safe_safe_MP_204550.1296__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_MP	21	20	30	38
0Safe_safe_MP_204550.1296__0Safe_safe_MP_204550.1197	0Safe_safe_MP__0Safe_safe_MP	33	42	76	70
0Safe_safe_MP_204550.1296__0Safe_safe_MP_204550.1296	0Safe_safe_MP__0Safe_safe_MP	25	30	54	54
0Safe_safe_MP_204550.1296__0Safe_safe_MP_204550.1323	0Safe_safe_MP__0Safe_safe_MP	102	106	172	211
0Safe_safe_MP_204550.1296__0Safe_safe_U3_204550.6027	0Safe_safe_MP__0Safe_safe_U3	21	28	38	44
0Safe_safe_MP_204550.1296__CDK2_1	0Safe_safe_MP__CDK2	121	115	115	146
0Safe_safe_MP_204550.1296__CDK2_2	0Safe_safe_MP__CDK2	76	84	94	112
0Safe_safe_MP_204550.1296__CDK2_3	0Safe_safe_MP__CDK2	80	85	106	105
0Safe_safe_MP_204550.1296__CDK2_4	0Safe_safe_MP__CDK2	161	166	234	228
0Safe_safe_MP_204550.1296__CTNNB1_1	0Safe_safe_MP__CTNNB1	50	54	137	124
0Safe_safe_MP_204550.1296__CTNNB1_2	0Safe_safe_MP__CTNNB1	42	51	86	101
0Safe_safe_MP_204550.1296__CTNNB1_3	0Safe_safe_MP__CTNNB1	54	70	125	139
0Safe_safe_MP_204550.1296__CTNNB1_4	0Safe_safe_MP__CTNNB1	70	99	153	173
0Safe_safe_MP_204550.1296__ETF1_1	0Safe_safe_MP__ETF1	62	56	55	44
0Safe_safe_MP_204550.1296__ETF1_2	0Safe_safe_MP__ETF1	86	84	68	82
0Safe_safe_MP_204550.1296__ETF1_3	0Safe_safe_MP__ETF1	26	26	44	46
0Safe_safe_MP_204550.1296__ETF1_4	0Safe_safe_MP__ETF1	68	63	105	135
0Safe_safe_MP_204550.1296__EZH2_1	0Safe_safe_MP__EZH2	59	56	95	110
0Safe_safe_MP_204550.1296__EZH2_2	0Safe_safe_MP__EZH2	68	65	145	136
0Safe_safe_MP_204550.1296__EZH2_3	0Safe_safe_MP__EZH2	89	76	170	208
0Safe_safe_MP_204550.1296__EZH2_4	0Safe_safe_MP__EZH2	82	81	123	168
0Safe_safe_MP_204550.1296__HSP90B1_1	0Safe_safe_MP__HSP90B1	99	82	132	142
0Safe_safe_MP_204550.1296__HSP90B1_2	0Safe_safe_MP__HSP90B1	102	118	152	181
0Safe_safe_MP_204550.1296__HSP90B1_3	0Safe_safe_MP__HSP90B1	58	64	95	132
0Safe_safe_MP_204550.1296__HSP90B1_4	0Safe_safe_MP__HSP90B1	23	34	50	61
0Safe_safe_MP_204550.1296__IGF1R_1	0Safe_safe_MP__IGF1R	71	79	106	117
0Safe_safe_MP_204550.1296__IGF1R_2	0Safe_safe_MP__IGF1R	80	83	136	148
0Safe_safe_MP_204550.1296__IGF1R_3	0Safe_safe_MP__IGF1R	197	245	295	344
0Safe_safe_MP_204550.1296__IGF1R_4	0Safe_safe_MP__IGF1R	29	42	44	57
0Safe_safe_MP_204550.1296__MAPK13_1	0Safe_safe_MP__MAPK13	266	275	412	501
0Safe_safe_MP_204550.1296__MAPK13_2	0Safe_safe_MP__MAPK13	76	67	139	156
0Safe_safe_MP_204550.1296__MAPK13_3	0Safe_safe_MP__MAPK13	131	123	197	273
0Safe_safe_MP_204550.1296__MAPK13_4	0Safe_safe_MP__MAPK13	67	55	105	122
0Safe_safe_MP_204550.1296__TRIB2_1	0Safe_safe_MP__TRIB2	84	64	135	155
0Safe_safe_MP_204550.1296__TRIB2_2	0Safe_safe_MP__TRIB2	56	51	97	119
0Safe_safe_MP_204550.1296__TRIB2_3	0Safe_safe_MP__TRIB2	120	114	247	251
0Safe_safe_MP_204550.1296__TRIB2_4	0Safe_safe_MP__TRIB2	96	78	134	177
0Safe_safe_MP_204550.1296__ULK1_1	0Safe_safe_MP__ULK1	39	35	78	73
0Safe_safe_MP_204550.1296__ULK1_2	0Safe_safe_MP__ULK1	83	68	99	139
0Safe_safe_MP_204550.1296__ULK1_3	0Safe_safe_MP__ULK1	40	43	65	78
0Safe_safe_MP_204550.1296__ULK1_4	0Safe_safe_MP__ULK1	121	93	149	187
0Safe_safe_MP_204550.1296__WNT5A_1	0Safe_safe_MP__WNT5A	117	121	158	200
0Safe_safe_MP_204550.1296__WNT5A_2	0Safe_safe_MP__WNT5A	129	126	186	239
0Safe_safe_MP_204550.1296__WNT5A_3	0Safe_safe_MP__WNT5A	80	69	126	170
0Safe_safe_MP_204550.1296__WNT5A_4	0Safe_safe_MP__WNT5A	88	116	160	232
0Safe_safe_MP_204550.1323__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_MP	22	35	53	64
0Safe_safe_MP_204550.1323__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_MP	100	88	129	142
0Safe_safe_MP_204550.1323__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_MP	115	110	162	192
0Safe_safe_MP_204550.1323__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_MP	56	55	92	84
0Safe_safe_MP_204550.1323__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_MP	38	44	75	72
0Safe_safe_MP_204550.1323__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_MP	31	28	56	76
0Safe_safe_MP_204550.1323__0Safe_safe_MP_204550.1197	0Safe_safe_MP__0Safe_safe_MP	40	29	70	74
0Safe_safe_MP_204550.1323__0Safe_safe_MP_204550.1296	0Safe_safe_MP__0Safe_safe_MP	35	26	57	58
0Safe_safe_MP_204550.1323__0Safe_safe_MP_204550.1323	0Safe_safe_MP__0Safe_safe_MP	101	104	183	195
0Safe_safe_MP_204550.1323__0Safe_safe_U3_204550.6027	0Safe_safe_MP__0Safe_safe_U3	25	19	29	29
0Safe_safe_MP_204550.1323__CDK2_1	0Safe_safe_MP__CDK2	100	111	112	97
0Safe_safe_MP_204550.1323__CDK2_2	0Safe_safe_MP__CDK2	83	66	97	111
0Safe_safe_MP_204550.1323__CDK2_3	0Safe_safe_MP__CDK2	93	99	126	177
0Safe_safe_MP_204550.1323__CDK2_4	0Safe_safe_MP__CDK2	155	161	174	231
0Safe_safe_MP_204550.1323__CTNNB1_1	0Safe_safe_MP__CTNNB1	45	43	90	101
0Safe_safe_MP_204550.1323__CTNNB1_2	0Safe_safe_MP__CTNNB1	59	55	93	92
0Safe_safe_MP_204550.1323__CTNNB1_3	0Safe_safe_MP__CTNNB1	55	68	98	129
0Safe_safe_MP_204550.1323__CTNNB1_4	0Safe_safe_MP__CTNNB1	79	85	117	154
0Safe_safe_MP_204550.1323__ETF1_1	0Safe_safe_MP__ETF1	55	58	38	41
0Safe_safe_MP_204550.1323__ETF1_2	0Safe_safe_MP__ETF1	103	91	81	84
0Safe_safe_MP_204550.1323__ETF1_3	0Safe_safe_MP__ETF1	28	30	41	56
0Safe_safe_MP_204550.1323__ETF1_4	0Safe_safe_MP__ETF1	74	61	112	150
0Safe_safe_MP_204550.1323__EZH2_1	0Safe_safe_MP__EZH2	52	53	97	83
0Safe_safe_MP_204550.1323__EZH2_2	0Safe_safe_MP__EZH2	79	75	136	161
0Safe_safe_MP_204550.1323__EZH2_3	0Safe_safe_MP__EZH2	91	81	131	143
0Safe_safe_MP_204550.1323__EZH2_4	0Safe_safe_MP__EZH2	77	46	105	123
0Safe_safe_MP_204550.1323__HSP90B1_1	0Safe_safe_MP__HSP90B1	94	88	112	155
0Safe_safe_MP_204550.1323__HSP90B1_2	0Safe_safe_MP__HSP90B1	108	117	130	170
0Safe_safe_MP_204550.1323__HSP90B1_3	0Safe_safe_MP__HSP90B1	48	43	70	91
0Safe_safe_MP_204550.1323__HSP90B1_4	0Safe_safe_MP__HSP90B1	34	27	48	53
0Safe_safe_MP_204550.1323__IGF1R_1	0Safe_safe_MP__IGF1R	77	66	74	102
0Safe_safe_MP_204550.1323__IGF1R_2	0Safe_safe_MP__IGF1R	89	85	170	171
0Safe_safe_MP_204550.1323__IGF1R_3	0Safe_safe_MP__IGF1R	247	219	283	313
0Safe_safe_MP_204550.1323__IGF1R_4	0Safe_safe_MP__IGF1R	33	39	35	64
0Safe_safe_MP_204550.1323__MAPK13_1	0Safe_safe_MP__MAPK13	244	233	397	510
0Safe_safe_MP_204550.1323__MAPK13_2	0Safe_safe_MP__MAPK13	74	72	129	151
0Safe_safe_MP_204550.1323__MAPK13_3	0Safe_safe_MP__MAPK13	108	121	203	227
0Safe_safe_MP_204550.1323__MAPK13_4	0Safe_safe_MP__MAPK13	69	60	93	100
0Safe_safe_MP_204550.1323__TRIB2_1	0Safe_safe_MP__TRIB2	73	70	116	218
0Safe_safe_MP_204550.1323__TRIB2_2	0Safe_safe_MP__TRIB2	40	56	91	104
0Safe_safe_MP_204550.1323__TRIB2_3	0Safe_safe_MP__TRIB2	141	121	197	250
0Safe_safe_MP_204550.1323__TRIB2_4	0Safe_safe_MP__TRIB2	75	83	113	127
0Safe_safe_MP_204550.1323__ULK1_1	0Safe_safe_MP__ULK1	35	33	45	64
0Safe_safe_MP_204550.1323__ULK1_2	0Safe_safe_MP__ULK1	52	70	113	134
0Safe_safe_MP_204550.1323__ULK1_3	0Safe_safe_MP__ULK1	53	49	75	74
0Safe_safe_MP_204550.1323__ULK1_4	0Safe_safe_MP__ULK1	99	92	155	182
0Safe_safe_MP_204550.1323__WNT5A_1	0Safe_safe_MP__WNT5A	109	105	134	183
0Safe_safe_MP_204550.1323__WNT5A_2	0Safe_safe_MP__WNT5A	109	136	190	216
0Safe_safe_MP_204550.1323__WNT5A_3	0Safe_safe_MP__WNT5A	51	89	146	156
0Safe_safe_MP_204550.1323__WNT5A_4	0Safe_safe_MP__WNT5A	89	73	151	183
0Safe_safe_U3_204550.6027__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__0Safe_safe_U3	16	5	15	23
0Safe_safe_U3_204550.6027__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__0Safe_safe_U3	27	31	52	53
0Safe_safe_U3_204550.6027__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__0Safe_safe_U3	40	40	50	66
0Safe_safe_U3_204550.6027__0Safe_safe_GE_204550.1561	0Safe_safe_GE__0Safe_safe_U3	20	14	31	38
0Safe_safe_U3_204550.6027__0Safe_safe_GE_204550.1743	0Safe_safe_GE__0Safe_safe_U3	10	13	17	22
0Safe_safe_U3_204550.6027__0Safe_safe_GE_204550.1816	0Safe_safe_GE__0Safe_safe_U3	13	9	16	17
0Safe_safe_U3_204550.6027__0Safe_safe_MP_204550.1197	0Safe_safe_MP__0Safe_safe_U3	16	9	37	26
0Safe_safe_U3_204550.6027__0Safe_safe_MP_204550.1296	0Safe_safe_MP__0Safe_safe_U3	7	7	12	25
0Safe_safe_U3_204550.6027__0Safe_safe_MP_204550.1323	0Safe_safe_MP__0Safe_safe_U3	32	26	47	55
0Safe_safe_U3_204550.6027__0Safe_safe_U3_204550.6027	0Safe_safe_U3__0Safe_safe_U3	3	4	8	8
0Safe_safe_U3_204550.6027__CDK2_1	0Safe_safe_U3__CDK2	27	33	42	37
0Safe_safe_U3_204550.6027__CDK2_2	0Safe_safe_U3__CDK2	25	35	42	49
0Safe_safe_U3_204550.6027__CDK2_3	0Safe_safe_U3__CDK2	26	23	28	47
0Safe_safe_U3_204550.6027__CDK2_4	0Safe_safe_U3__CDK2	39	45	61	84
0Safe_safe_U3_204550.6027__CTNNB1_1	0Safe_safe_U3__CTNNB1	21	17	25	36
0Safe_safe_U3_204550.6027__CTNNB1_2	0Safe_safe_U3__CTNNB1	14	10	38	52
0Safe_safe_U3_204550.6027__CTNNB1_3	0Safe_safe_U3__CTNNB1	17	17	38	38
0Safe_safe_U3_204550.6027__CTNNB1_4	0Safe_safe_U3__CTNNB1	25	17	42	64
0Safe_safe_U3_204550.6027__ETF1_1	0Safe_safe_U3__ETF1	9	31	21	9
0Safe_safe_U3_204550.6027__ETF1_2	0Safe_safe_U3__ETF1	26	16	17	13
0Safe_safe_U3_204550.6027__ETF1_3	0Safe_safe_U3__ETF1	7	11	12	22
0Safe_safe_U3_204550.6027__ETF1_4	0Safe_safe_U3__ETF1	21	17	30	40
0Safe_safe_U3_204550.6027__EZH2_1	0Safe_safe_U3__EZH2	20	14	37	44
0Safe_safe_U3_204550.6027__EZH2_2	0Safe_safe_U3__EZH2	31	31	60	48
0Safe_safe_U3_204550.6027__EZH2_3	0Safe_safe_U3__EZH2	22	41	51	73
0Safe_safe_U3_204550.6027__EZH2_4	0Safe_safe_U3__EZH2	14	21	42	41
0Safe_safe_U3_204550.6027__HSP90B1_1	0Safe_safe_U3__HSP90B1	28	33	48	52
0Safe_safe_U3_204550.6027__HSP90B1_2	0Safe_safe_U3__HSP90B1	36	36	48	61
0Safe_safe_U3_204550.6027__HSP90B1_3	0Safe_safe_U3__HSP90B1	17	11	34	23
0Safe_safe_U3_204550.6027__HSP90B1_4	0Safe_safe_U3__HSP90B1	8	9	16	18
0Safe_safe_U3_204550.6027__IGF1R_1	0Safe_safe_U3__IGF1R	18	27	23	37
0Safe_safe_U3_204550.6027__IGF1R_2	0Safe_safe_U3__IGF1R	22	26	44	48
0Safe_safe_U3_204550.6027__IGF1R_3	0Safe_safe_U3__IGF1R	76	74	76	94
0Safe_safe_U3_204550.6027__IGF1R_4	0Safe_safe_U3__IGF1R	20	13	16	22
0Safe_safe_U3_204550.6027__MAPK13_1	0Safe_safe_U3__MAPK13	81	86	119	174
0Safe_safe_U3_204550.6027__MAPK13_2	0Safe_safe_U3__MAPK13	25	31	37	44
0Safe_safe_U3_204550.6027__MAPK13_3	0Safe_safe_U3__MAPK13	41	53	78	98
0Safe_safe_U3_204550.6027__MAPK13_4	0Safe_safe_U3__MAPK13	20	20	22	33
0Safe_safe_U3_204550.6027__TRIB2_1	0Safe_safe_U3__TRIB2	12	26	47	57
0Safe_safe_U3_204550.6027__TRIB2_2	0Safe_safe_U3__TRIB2	17	17	42	39
0Safe_safe_U3_204550.6027__TRIB2_3	0Safe_safe_U3__TRIB2	30	33	71	67
0Safe_safe_U3_204550.6027__TRIB2_4	0Safe_safe_U3__TRIB2	23	28	39	46
0Safe_safe_U3_204550.6027__ULK1_1	0Safe_safe_U3__ULK1	13	12	17	30
0Safe_safe_U3_204550.6027__ULK1_2	0Safe_safe_U3__ULK1	22	16	22	29
0Safe_safe_U3_204550.6027__ULK1_3	0Safe_safe_U3__ULK1	13	11	26	22
0Safe_safe_U3_204550.6027__ULK1_4	0Safe_safe_U3__ULK1	27	33	54	62
0Safe_safe_U3_204550.6027__WNT5A_1	0Safe_safe_U3__WNT5A	33	38	62	54
0Safe_safe_U3_204550.6027__WNT5A_2	0Safe_safe_U3__WNT5A	30	30	54	69
0Safe_safe_U3_204550.6027__WNT5A_3	0Safe_safe_U3__WNT5A	20	20	43	51
0Safe_safe_U3_204550.6027__WNT5A_4	0Safe_safe_U3__WNT5A	22	28	39	53
CDK2_1__0Safe_safe_ACOC_204550.4522	0Safe_safe_ACOC__CDK2	50	25	34	41
CDK2_1__0Safe_safe_ACOC_204550.4525	0Safe_safe_ACOC__CDK2	112	116	109	140
CDK2_1__0Safe_safe_ACOC_204550.4590	0Safe_safe_ACOC__CDK2	155	146	128	172
CDK2_1__0Safe_safe_GE_204550.1561	0Safe_safe_GE__CDK2	61	72	63	73
CDK2_1__0Safe_safe_GE_204550.1743	0Safe_safe_GE__CDK2	62	52	58	64
CDK2_1__0Safe_safe_GE_204550.1816	0Safe_safe_GE__CDK2	33	41	42	40
CDK2_1__0Safe_safe_MP_204550.1197	0Safe_safe_MP__CDK2	47	43	37	48
CDK2_1__0Safe_safe_MP_204550.1296	0Safe_safe_MP__CDK2	39	33	36	37
CDK2_1__0Safe_safe_MP_204550.1323	0Safe_safe_MP__CDK2	120	101	121	126
CDK2_1__0Safe_safe_U3_204550.6027	0Safe_safe_U3__CDK2	31	23	20	12
CDK2_1__CDK2_1	CDK2__CDK2	140	147	98	121
CDK2_1__CDK2_2	CDK2__CDK2	81	119	92	88
CDK2_1__CDK2_3	CDK2__CDK2	114	104	87	104
CDK2_1__CDK2_4	CDK2__CDK2	188	201	154	204
CDK2_1__CTNNB1_1	CDK2__CTNNB1	57	57	52	71
CDK2_1__CTNNB1_2	CDK2__CTNNB1	78	58	64	79
CDK2_1__CTNNB1_3	CDK2__CTNNB1	74	69	69	115
