sgRNA	Gene	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1743	0Safe_safe_ACOC__0Safe_safe_GE	68	75	102	149
0Safe_safe_ACOC_204550.4525__0Safe_safe_GE_204550.1816	0Safe_safe_ACOC__0Safe_safe_GE	41	40	77	101
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1197	0Safe_safe_ACOC__0Safe_safe_MP	63	57	104	116
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1296	0Safe_safe_ACOC__0Safe_safe_MP	48	36	74	92
0Safe_safe_ACOC_204550.4525__0Safe_safe_MP_204550.1323	0Safe_safe_ACOC__0Safe_safe_MP	164	157	302	351
0Safe_safe_ACOC_204550.4525__0Safe_safe_U3_204550.6027	0Safe_safe_ACOC__0Safe_safe_U3	35	37	62	81
0Safe_safe_ACOC_204550.4525__CDK2_1	0Safe_safe_ACOC__CDK2	172	191	184	231
0Safe_safe_ACOC_204550.4525__CDK2_2	0Safe_safe_ACOC__CDK2	133	124	151	192
0Safe_safe_ACOC_204550.4525__CDK2_3	0Safe_safe_ACOC__CDK2	131	121	206	254
0Safe_safe_ACOC_204550.4525__CDK2_4	0Safe_safe_ACOC__CDK2	242	247	323	389
0Safe_safe_ACOC_204550.4525__CTNNB1_1	0Safe_safe_ACOC__CTNNB1	77	69	149	129
0Safe_safe_ACOC_204550.4525__CTNNB1_2	0Safe_safe_ACOC__CTNNB1	74	76	137	184
0Safe_safe_ACOC_204550.4525__CTNNB1_3	0Safe_safe_ACOC__CTNNB1	85	77	180	172
0Safe_safe_ACOC_204550.4525__CTNNB1_4	0Safe_safe_ACOC__CTNNB1	122	136	227	255
0Safe_safe_ACOC_204550.4525__ETF1_1	0Safe_safe_ACOC__ETF1	97	83	64	72
0Safe_safe_ACOC_204550.4525__ETF1_2	0Safe_safe_ACOC__ETF1	152	120	127	141
0Safe_safe_ACOC_204550.4525__ETF1_3	0Safe_safe_ACOC__ETF1	33	25	73	58
0Safe_safe_ACOC_204550.4525__ETF1_4	0Safe_safe_ACOC__ETF1	102	82	196	216
0Safe_safe_ACOC_204550.4525__EZH2_1	0Safe_safe_ACOC__EZH2	90	94	136	157
