construct_id	T0_1	T0_2	Tend_1	Tend_2
0Safe_safe_MP_204550.1296__TRIB2_2	56	51	97	119
0Safe_safe_MP_204550.1296__TRIB2_3	120	114	247	251
0Safe_safe_MP_204550.1296__TRIB2_4	96	78	134	177
0Safe_safe_MP_204550.1296__ULK1_1	39	35	78	73
0Safe_safe_MP_204550.1296__ULK1_2	83	68	99	139
0Safe_safe_MP_204550.1296__ULK1_3	40	43	65	78
0Safe_safe_MP_204550.1296__ULK1_4	121	93	149	187
0Safe_safe_MP_204550.1296__WNT5A_1	117	121	158	200
0Safe_safe_MP_204550.1296__WNT5A_2	129	126	186	239
0Safe_safe_MP_204550.1296__WNT5A_3	80	69	126	170
0Safe_safe_MP_204550.1296__WNT5A_4	88	116	160	232
0Safe_safe_MP_204550.1323__0Safe_safe_ACOC_204550.4522	22	35	53	64
0Safe_safe_MP_204550.1323__0Safe_safe_ACOC_204550.4525	100	88	129	142
0Safe_safe_MP_204550.1323__0Safe_safe_ACOC_204550.4590	115	110	162	192
0Safe_safe_MP_204550.1323__0Safe_safe_GE_204550.1561	56	55	92	84
0Safe_safe_MP_204550.1323__0Safe_safe_GE_204550.1743	38	44	75	72
0Safe_safe_MP_204550.1323__0Safe_safe_GE_204550.1816	31	28	56	76
0Safe_safe_MP_204550.1323__0Safe_safe_MP_204550.1197	40	29	70	74
0Safe_safe_MP_204550.1323__0Safe_safe_MP_204550.1296	35	26	57	58
0Safe_safe_MP_204550.1323__0Safe_safe_MP_204550.1323	101	104	183	195
0Safe_safe_MP_204550.1323__0Safe_safe_U3_204550.6027	25	19	29	29
0Safe_safe_MP_204550.1323__CDK2_1	100	111	112	97
0Safe_safe_MP_204550.1323__CDK2_2	83	66	97	111
0Safe_safe_MP_204550.1323__CDK2_3	93	99	126	177
0Safe_safe_MP_204550.1323__CDK2_4	155	161	174	231
0Safe_safe_MP_204550.1323__CTNNB1_1	45	43	90	101
0Safe_safe_MP_204550.1323__CTNNB1_2	59	55	93	92
0Safe_safe_MP_204550.1323__CTNNB1_3	55	68	98	129
0Safe_safe_MP_204550.1323__CTNNB1_4	79	85	117	154
0Safe_safe_MP_204550.1323__ETF1_1	55	58	38	41
0Safe_safe_MP_204550.1323__ETF1_2	103	91	81	84
0Safe_safe_MP_204550.1323__ETF1_3	28	30	41	56
0Safe_safe_MP_204550.1323__ETF1_4	74	61	112	150
0Safe_safe_MP_204550.1323__EZH2_1	52	53	97	83
0Safe_safe_MP_204550.1323__EZH2_2	79	75	136	161
0Safe_safe_MP_204550.1323__EZH2_3	91	81	131	143
0Safe_safe_MP_204550.1323__EZH2_4	77	46	105	123
0Safe_safe_MP_204550.1323__HSP90B1_1	94	88	112	155
0Safe_safe_MP_204550.1323__HSP90B1_2	108	117	130	170
0Safe_safe_MP_204550.1323__HSP90B1_3	48	43	70	91
0Safe_safe_MP_204550.1323__HSP90B1_4	34	27	48	53
0Safe_safe_MP_204550.1323__IGF1R_1	77	66	74	102
0Safe_safe_MP_204550.1323__IGF1R_2	89	85	170	171
0Safe_safe_MP_204550.1323__IGF1R_3	247	219	283	313
0Safe_safe_MP_204550.1323__IGF1R_4	33	39	35	64
0Safe_safe_MP_204550.1323__MAPK13_1	244	233	397	510
0Safe_safe_MP_204550.1323__MAPK13_2	74	72	129	151
0Safe_safe_MP_204550.1323__MAPK13_3	108	121	203	227
0Safe_safe_MP_204550.1323__MAPK13_4	69	60	93	100
0Safe_safe_MP_204550.1323__TRIB2_1	73	70	116	218
0Safe_safe_MP_204550.1323__TRIB2_2	40	56	91	104
0Safe_safe_MP_204550.1323__TRIB2_3	141	121	197	250
0Safe_safe_MP_204550.1323__TRIB2_4	75	83	113	127
0Safe_safe_MP_204550.1323__ULK1_1	35	33	45	64
0Safe_safe_MP_204550.1323__ULK1_2	52	70	113	134
0Safe_safe_MP_204550.1323__ULK1_3	53	49	75	74
0Safe_safe_MP_204550.1323__ULK1_4	99	92	155	182
0Safe_safe_MP_204550.1323__WNT5A_1	109	105	134	183
0Safe_safe_MP_204550.1323__WNT5A_2	109	136	190	216
0Safe_safe_MP_204550.1323__WNT5A_3	51	89	146	156
0Safe_safe_MP_204550.1323__WNT5A_4	89	73	151	183
0Safe_safe_U3_204550.6027__0Safe_safe_ACOC_204550.4522	16	5	15	23
0Safe_safe_U3_204550.6027__0Safe_safe_ACOC_204550.4525	27	31	52	53
0Safe_safe_U3_204550.6027__0Safe_safe_ACOC_204550.4590	40	40	50	66
0Safe_safe_U3_204550.6027__0Safe_safe_GE_204550.1561	20	14	31	38
0Safe_safe_U3_204550.6027__0Safe_safe_GE_204550.1743	10	13	17	22
0Safe_safe_U3_204550.6027__0Safe_safe_GE_204550.1816	13	9	16	17
0Safe_safe_U3_204550.6027__0Safe_safe_MP_204550.1197	16	9	37	26
0Safe_safe_U3_204550.6027__0Safe_safe_MP_204550.1296	7	7	12	25
0Safe_safe_U3_204550.6027__0Safe_safe_MP_204550.1323	32	26	47	55
0Safe_safe_U3_204550.6027__0Safe_safe_U3_204550.6027	3	4	8	8
0Safe_safe_U3_204550.6027__CDK2_1	27	33	42	37
0Safe_safe_U3_204550.6027__CDK2_2	25	35	42	49
0Safe_safe_U3_204550.6027__CDK2_3	26	23	28	47
0Safe_safe_U3_204550.6027__CDK2_4	39	45	61	84
0Safe_safe_U3_204550.6027__CTNNB1_1	21	17	25	36
0Safe_safe_U3_204550.6027__CTNNB1_2	14	10	38	52
0Safe_safe_U3_204550.6027__CTNNB1_3	17	17	38	38
0Safe_safe_U3_204550.6027__CTNNB1_4	25	17	42	64
0Safe_safe_U3_204550.6027__ETF1_1	9	31	21	9
0Safe_safe_U3_204550.6027__ETF1_2	26	16	17	13
0Safe_safe_U3_204550.6027__ETF1_3	7	11	12	22
0Safe_safe_U3_204550.6027__ETF1_4	21	17	30	40
0Safe_safe_U3_204550.6027__EZH2_1	20	14	37	44
0Safe_safe_U3_204550.6027__EZH2_2	31	31	60	48
0Safe_safe_U3_204550.6027__EZH2_3	22	41	51	73
0Safe_safe_U3_204550.6027__EZH2_4	14	21	42	41
0Safe_safe_U3_204550.6027__HSP90B1_1	28	33	48	52
0Safe_safe_U3_204550.6027__HSP90B1_2	36	36	48	61
0Safe_safe_U3_204550.6027__HSP90B1_3	17	11	34	23
0Safe_safe_U3_204550.6027__HSP90B1_4	8	9	16	18
0Safe_safe_U3_204550.6027__IGF1R_1	18	27	23	37
0Safe_safe_U3_204550.6027__IGF1R_2	22	26	44	48
0Safe_safe_U3_204550.6027__IGF1R_3	76	74	76	94
0Safe_safe_U3_204550.6027__IGF1R_4	20	13	16	22
0Safe_safe_U3_204550.6027__MAPK13_1	81	86	119	174
0Safe_safe_U3_204550.6027__MAPK13_2	25	31	37	44
0Safe_safe_U3_204550.6027__MAPK13_3	41	53	78	98
0Safe_safe_U3_204550.6027__MAPK13_4	20	20	22	33
0Safe_safe_U3_204550.6027__TRIB2_1	12	26	47	57
0Safe_safe_U3_204550.6027__TRIB2_2	17	17	42	39
0Safe_safe_U3_204550.6027__TRIB2_3	30	33	71	67
0Safe_safe_U3_204550.6027__TRIB2_4	23	28	39	46
0Safe_safe_U3_204550.6027__ULK1_1	13	12	17	30
0Safe_safe_U3_204550.6027__ULK1_2	22	16	22	29
0Safe_safe_U3_204550.6027__ULK1_3	13	11	26	22
0Safe_safe_U3_204550.6027__ULK1_4	27	33	54	62
0Safe_safe_U3_204550.6027__WNT5A_1	33	38	62	54
0Safe_safe_U3_204550.6027__WNT5A_2	30	30	54	69
0Safe_safe_U3_204550.6027__WNT5A_3	20	20	43	51
0Safe_safe_U3_204550.6027__WNT5A_4	22	28	39	53
CDK2_1__0Safe_safe_ACOC_204550.4522	50	25	34	41
CDK2_1__0Safe_safe_ACOC_204550.4525	112	116	109	140
CDK2_1__0Safe_safe_ACOC_204550.4590	155	146	128	172
CDK2_1__0Safe_safe_GE_204550.1561	61	72	63	73
CDK2_1__0Safe_safe_GE_204550.1743	62	52	58	64
CDK2_1__0Safe_safe_GE_204550.1816	33	41	42	40
CDK2_1__0Safe_safe_MP_204550.1197	47	43	37	48
CDK2_1__0Safe_safe_MP_204550.1296	39	33	36	37
CDK2_1__0Safe_safe_MP_204550.1323	120	101	121	126
CDK2_1__0Safe_safe_U3_204550.6027	31	23	20	12
CDK2_1__CDK2_1	140	147	98	121
CDK2_1__CDK2_2	81	119	92	88
CDK2_1__CDK2_3	114	104	87	104
CDK2_1__CDK2_4	188	201	154	204
CDK2_1__CTNNB1_1	57	57	52	71
CDK2_1__CTNNB1_2	78	58	64	79
CDK2_1__CTNNB1_3	74	69	69	115
CDK2_1__CTNNB1_4	99	88	87	123
CDK2_1__ETF1_1	58	61	28	20
CDK2_1__ETF1_2	114	94	50	68
CDK2_1__ETF1_3	34	32	24	39
CDK2_1__ETF1_4	76	82	86	102
CDK2_1__EZH2_1	68	71	68	55
CDK2_1__EZH2_2	105	115	93	109
CDK2_1__EZH2_3	98	116	91	111
CDK2_1__EZH2_4	70	73	68	101
CDK2_1__HSP90B1_1	110	118	87	117
CDK2_1__HSP90B1_2	105	152	111	122
CDK2_1__HSP90B1_3	75	63	54	55
CDK2_1__HSP90B1_4	36	42	29	38
CDK2_1__IGF1R_1	106	98	75	70
CDK2_1__IGF1R_2	107	103	83	94
CDK2_1__IGF1R_3	262	291	219	244
CDK2_1__IGF1R_4	46	33	21	34
CDK2_1__MAPK13_1	313	321	292	353
CDK2_1__MAPK13_2	109	94	74	93
CDK2_1__MAPK13_3	177	176	175	185
CDK2_1__MAPK13_4	60	73	74	82
CDK2_1__TRIB2_1	93	75	76	103
CDK2_1__TRIB2_2	77	59	63	68
CDK2_1__TRIB2_3	146	157	132	203
CDK2_1__TRIB2_4	88	104	83	110
CDK2_1__ULK1_1	52	51	54	56
CDK2_1__ULK1_2	85	80	69	91
CDK2_1__ULK1_3	74	78	58	75
CDK2_1__ULK1_4	141	158	104	137
CDK2_1__WNT5A_1	143	141	123	144
CDK2_1__WNT5A_2	144	160	147	167
CDK2_1__WNT5A_3	91	96	83	108
CDK2_1__WNT5A_4	114	100	109	143
CDK2_2__0Safe_safe_ACOC_204550.4522	14	21	16	25
CDK2_2__0Safe_safe_ACOC_204550.4525	49	50	53	53
CDK2_2__0Safe_safe_ACOC_204550.4590	59	70	73	77
CDK2_2__0Safe_safe_GE_204550.1561	30	31	29	32
CDK2_2__0Safe_safe_GE_204550.1743	39	39	32	34
CDK2_2__0Safe_safe_GE_204550.1816	21	13	21	17
CDK2_2__0Safe_safe_MP_204550.1197	8	19	16	22
CDK2_2__0Safe_safe_MP_204550.1296	17	14	20	26
CDK2_2__0Safe_safe_MP_204550.1323	53	45	65	74
CDK2_2__0Safe_safe_U3_204550.6027	8	10	13	19
CDK2_2__CDK2_1	61	71	51	72
CDK2_2__CDK2_2	47	39	28	39
CDK2_2__CDK2_3	34	37	36	38
CDK2_2__CDK2_4	76	69	75	91
CDK2_2__CTNNB1_1	22	23	36	29
CDK2_2__CTNNB1_2	32	27	30	49
CDK2_2__CTNNB1_3	25	29	31	52
CDK2_2__CTNNB1_4	37	55	62	66
CDK2_2__ETF1_1	45	39	19	19
CDK2_2__ETF1_2	50	46	21	34
CDK2_2__ETF1_3	9	17	11	18
CDK2_2__ETF1_4	27	34	45	37
CDK2_2__EZH2_1	33	37	36	55
CDK2_2__EZH2_2	59	53	65	87
CDK2_2__EZH2_3	50	58	66	78
CDK2_2__EZH2_4	39	34	44	46
CDK2_2__HSP90B1_1	56	60	55	76
CDK2_2__HSP90B1_2	72	58	53	64
CDK2_2__HSP90B1_3	29	31	20	37
CDK2_2__HSP90B1_4	18	13	19	20
CDK2_2__IGF1R_1	50	45	26	53
CDK2_2__IGF1R_2	48	44	59	65
CDK2_2__IGF1R_3	114	134	101	122
CDK2_2__IGF1R_4	23	23	20	12
CDK2_2__MAPK13_1	131	156	150	193
CDK2_2__MAPK13_2	43	37	46	35
CDK2_2__MAPK13_3	71	65	75	101
CDK2_2__MAPK13_4	39	34	40	59
CDK2_2__TRIB2_1	23	50	50	55
CDK2_2__TRIB2_2	26	32	33	46
CDK2_2__TRIB2_3	48	54	72	90
CDK2_2__TRIB2_4	38	61	59	72
CDK2_2__ULK1_1	29	14	20	33
CDK2_2__ULK1_2	42	40	30	38
CDK2_2__ULK1_3	30	28	26	20
CDK2_2__ULK1_4	59	61	74	89
CDK2_2__WNT5A_1	72	65	59	77
CDK2_2__WNT5A_2	53	63	57	70
CDK2_2__WNT5A_3	66	35	36	68
CDK2_2__WNT5A_4	57	52	56	81
CDK2_3__0Safe_safe_ACOC_204550.4522	22	32	41	32
CDK2_3__0Safe_safe_ACOC_204550.4525	71	86	109	99
CDK2_3__0Safe_safe_ACOC_204550.4590	80	62	90	115
CDK2_3__0Safe_safe_GE_204550.1561	52	53	73	74
CDK2_3__0Safe_safe_GE_204550.1743	35	39	44	55
CDK2_3__0Safe_safe_GE_204550.1816	20	14	26	19
CDK2_3__0Safe_safe_MP_204550.1197	29	36	39	56
CDK2_3__0Safe_safe_MP_204550.1296	25	15	22	31
CDK2_3__0Safe_safe_MP_204550.1323	61	83	116	122
CDK2_3__0Safe_safe_U3_204550.6027	20	12	20	23
CDK2_3__CDK2_1	101	85	67	83
CDK2_3__CDK2_2	67	54	68	72
CDK2_3__CDK2_3	58	66	71	97
CDK2_3__CDK2_4	114	114	113	166
CDK2_3__CTNNB1_1	39	33	67	96
CDK2_3__CTNNB1_2	40	31	66	85
CDK2_3__CTNNB1_3	40	50	73	89
CDK2_3__CTNNB1_4	66	64	79	109
CDK2_3__ETF1_1	47	48	18	37
CDK2_3__ETF1_2	67	65	47	54
CDK2_3__ETF1_3	29	19	25	25
CDK2_3__ETF1_4	54	48	65	92
CDK2_3__EZH2_1	45	60	71	90
CDK2_3__EZH2_2	54	56	86	113
CDK2_3__EZH2_3	88	64	92	132
CDK2_3__EZH2_4	38	41	71	92
CDK2_3__HSP90B1_1	70	74	75	97
CDK2_3__HSP90B1_2	102	90	84	97
CDK2_3__HSP90B1_3	44	37	46	64
CDK2_3__HSP90B1_4	23	18	32	38
CDK2_3__IGF1R_1	54	53	64	64
CDK2_3__IGF1R_2	43	67	70	100
CDK2_3__IGF1R_3	171	165	153	202
CDK2_3__IGF1R_4	31	32	18	34
CDK2_3__MAPK13_1	187	195	244	325
CDK2_3__MAPK13_2	59	60	78	107
CDK2_3__MAPK13_3	109	84	154	160
CDK2_3__MAPK13_4	52	29	44	60
CDK2_3__TRIB2_1	51	53	66	85
CDK2_3__TRIB2_2	45	35	70	73
CDK2_3__TRIB2_3	87	88	121	152
CDK2_3__TRIB2_4	67	60	86	107
CDK2_3__ULK1_1	20	31	42	42
CDK2_3__ULK1_2	46	50	56	91
CDK2_3__ULK1_3	35	32	39	43
CDK2_3__ULK1_4	83	93	98	150
CDK2_3__WNT5A_1	73	72	109	113
CDK2_3__WNT5A_2	86	72	127	147
CDK2_3__WNT5A_3	57	40	55	84
CDK2_3__WNT5A_4	64	68	88	146
CDK2_4__0Safe_safe_ACOC_204550.4522	24	35	29	35
CDK2_4__0Safe_safe_ACOC_204550.4525	59	76	73	87
CDK2_4__0Safe_safe_ACOC_204550.4590	127	122	130	141
CDK2_4__0Safe_safe_GE_204550.1561	45	51	52	64
CDK2_4__0Safe_safe_GE_204550.1743	34	29	41	40
CDK2_4__0Safe_safe_GE_204550.1816	15	19	38	25
CDK2_4__0Safe_safe_MP_204550.1197	30	26	31	34
CDK2_4__0Safe_safe_MP_204550.1296	16	26	27	25
CDK2_4__0Safe_safe_MP_204550.1323	76	73	91	100
CDK2_4__0Safe_safe_U3_204550.6027	20	8	21	24
CDK2_4__CDK2_1	111	107	84	95
CDK2_4__CDK2_2	75	70	75	73
CDK2_4__CDK2_3	71	63	67	71
CDK2_4__CDK2_4	121	117	135	147
CDK2_4__CTNNB1_1	35	43	45	62
CDK2_4__CTNNB1_2	27	49	36	71
CDK2_4__CTNNB1_3	35	51	57	57
CDK2_4__CTNNB1_4	85	71	78	74
CDK2_4__ETF1_1	63	52	28	41
CDK2_4__ETF1_2	70	73	34	61
CDK2_4__ETF1_3	26	18	19	27
CDK2_4__ETF1_4	58	48	77	78
CDK2_4__EZH2_1	45	42	39	54
CDK2_4__EZH2_2	82	67	84	100
CDK2_4__EZH2_3	99	77	91	125
CDK2_4__EZH2_4	54	30	53	68
CDK2_4__HSP90B1_1	75	86	82	99
CDK2_4__HSP90B1_2	68	90	98	106
CDK2_4__HSP90B1_3	46	32	45	59
CDK2_4__HSP90B1_4	35	32	26	35
CDK2_4__IGF1R_1	68	47	66	74
CDK2_4__IGF1R_2	71	67	81	71
CDK2_4__IGF1R_3	176	163	156	188
CDK2_4__IGF1R_4	24	37	27	14
CDK2_4__MAPK13_1	197	195	196	348
CDK2_4__MAPK13_2	71	71	74	99
CDK2_4__MAPK13_3	96	113	115	153
CDK2_4__MAPK13_4	40	50	56	64
CDK2_4__TRIB2_1	60	48	53	72
CDK2_4__TRIB2_2	32	42	55	39
CDK2_4__TRIB2_3	83	95	90	139
CDK2_4__TRIB2_4	66	57	83	88
CDK2_4__ULK1_1	35	29	31	49
CDK2_4__ULK1_2	45	44	42	51
CDK2_4__ULK1_3	38	35	40	47
CDK2_4__ULK1_4	81	76	82	108
CDK2_4__WNT5A_1	99	85	98	120
CDK2_4__WNT5A_2	89	48	94	123
CDK2_4__WNT5A_3	62	63	82	78
CDK2_4__WNT5A_4	72	47	76	102
CTNNB1_1__0Safe_safe_ACOC_204550.4522	35	35	67	63
CTNNB1_1__0Safe_safe_ACOC_204550.4525	112	91	167	155
CTNNB1_1__0Safe_safe_ACOC_204550.4590	140	117	210	243
CTNNB1_1__0Safe_safe_GE_204550.1561	56	59	99	132
CTNNB1_1__0Safe_safe_GE_204550.1743	65	58	90	111
CTNNB1_1__0Safe_safe_GE_204550.1816	34	31	61	64
CTNNB1_1__0Safe_safe_MP_204550.1197	47	54	95	91
CTNNB1_1__0Safe_safe_MP_204550.1296	39	30	56	76
CTNNB1_1__0Safe_safe_MP_204550.1323	131	116	197	215
CTNNB1_1__0Safe_safe_U3_204550.6027	22	25	42	36
CTNNB1_1__CDK2_1	122	125	146	182
CTNNB1_1__CDK2_2	94	92	128	136
CTNNB1_1__CDK2_3	81	77	126	152
CTNNB1_1__CDK2_4	214	166	267	402
CTNNB1_1__CTNNB1_1	53	45	112	103
CTNNB1_1__CTNNB1_2	71	46	107	135
CTNNB1_1__CTNNB1_3	54	78	147	147
CTNNB1_1__CTNNB1_4	123	89	183	230
CTNNB1_1__ETF1_1	65	86	46	66
CTNNB1_1__ETF1_2	81	100	68	88
CTNNB1_1__ETF1_3	43	37	53	68
CTNNB1_1__ETF1_4	84	94	150	218
CTNNB1_1__EZH2_1	73	66	114	119
CTNNB1_1__EZH2_2	109	92	158	202
CTNNB1_1__EZH2_3	122	111	190	261
CTNNB1_1__EZH2_4	66	66	120	162
CTNNB1_1__HSP90B1_1	120	90	165	180
CTNNB1_1__HSP90B1_2	102	124	128	177
CTNNB1_1__HSP90B1_3	61	72	106	118
CTNNB1_1__HSP90B1_4	30	28	76	105
CTNNB1_1__IGF1R_1	113	83	122	146
CTNNB1_1__IGF1R_2	90	82	150	184
CTNNB1_1__IGF1R_3	280	254	303	394
CTNNB1_1__IGF1R_4	33	41	68	73
CTNNB1_1__MAPK13_1	292	277	493	604
CTNNB1_1__MAPK13_2	85	105	154	173
CTNNB1_1__MAPK13_3	146	164	295	347
CTNNB1_1__MAPK13_4	57	59	98	159
CTNNB1_1__TRIB2_1	73	69	150	180
CTNNB1_1__TRIB2_2	49	62	103	111
CTNNB1_1__TRIB2_3	152	150	264	309
CTNNB1_1__TRIB2_4	90	90	151	167
CTNNB1_1__ULK1_1	58	43	71	79
CTNNB1_1__ULK1_2	75	69	100	147
CTNNB1_1__ULK1_3	65	62	93	119
CTNNB1_1__ULK1_4	121	121	212	232
CTNNB1_1__WNT5A_1	155	164	221	282
CTNNB1_1__WNT5A_2	119	132	233	284
CTNNB1_1__WNT5A_3	93	90	138	163
CTNNB1_1__WNT5A_4	94	100	147	210
CTNNB1_2__0Safe_safe_ACOC_204550.4522	81	85	159	188
CTNNB1_2__0Safe_safe_ACOC_204550.4525	233	226	344	398
CTNNB1_2__0Safe_safe_ACOC_204550.4590	349	264	483	569
CTNNB1_2__0Safe_safe_GE_204550.1561	120	144	229	299
CTNNB1_2__0Safe_safe_GE_204550.1743	129	120	207	256
CTNNB1_2__0Safe_safe_GE_204550.1816	81	68	120	149
CTNNB1_2__0Safe_safe_MP_204550.1197	91	92	179	180
CTNNB1_2__0Safe_safe_MP_204550.1296	59	80	137	137
CTNNB1_2__0Safe_safe_MP_204550.1323	250	239	460	481
CTNNB1_2__0Safe_safe_U3_204550.6027	48	34	91	93
CTNNB1_2__CDK2_1	281	288	298	331
CTNNB1_2__CDK2_2	193	228	319	295
CTNNB1_2__CDK2_3	196	205	288	378
CTNNB1_2__CDK2_4	381	384	594	755
CTNNB1_2__CTNNB1_1	118	127	249	275
CTNNB1_2__CTNNB1_2	128	118	239	291
CTNNB1_2__CTNNB1_3	164	172	271	381
CTNNB1_2__CTNNB1_4	198	200	413	531
CTNNB1_2__ETF1_1	153	160	78	121
CTNNB1_2__ETF1_2	222	227	188	216
CTNNB1_2__ETF1_3	68	69	138	188
CTNNB1_2__ETF1_4	160	143	259	391
CTNNB1_2__EZH2_1	153	151	241	271
CTNNB1_2__EZH2_2	229	186	413	447
CTNNB1_2__EZH2_3	256	268	420	473
CTNNB1_2__EZH2_4	138	140	280	336
CTNNB1_2__HSP90B1_1	270	260	366	473
CTNNB1_2__HSP90B1_2	264	302	349	412
CTNNB1_2__HSP90B1_3	153	133	230	309
CTNNB1_2__HSP90B1_4	85	80	119	142
CTNNB1_2__IGF1R_1	199	216	264	326
CTNNB1_2__IGF1R_2	210	184	407	426
CTNNB1_2__IGF1R_3	626	610	689	940
CTNNB1_2__IGF1R_4	78	97	121	145
CTNNB1_2__MAPK13_1	586	640	1071	1278
CTNNB1_2__MAPK13_2	204	223	332	421
CTNNB1_2__MAPK13_3	329	330	573	686
CTNNB1_2__MAPK13_4	146	170	211	299
CTNNB1_2__TRIB2_1	172	188	324	410
CTNNB1_2__TRIB2_2	147	131	263	285
CTNNB1_2__TRIB2_3	284	307	541	736
CTNNB1_2__TRIB2_4	215	210	357	460
CTNNB1_2__ULK1_1	97	83	198	196
CTNNB1_2__ULK1_2	174	170	229	316
CTNNB1_2__ULK1_3	137	108	200	242
CTNNB1_2__ULK1_4	269	291	491	523
CTNNB1_2__WNT5A_1	314	299	416	559
CTNNB1_2__WNT5A_2	304	317	516	602
CTNNB1_2__WNT5A_3	213	180	313	380
CTNNB1_2__WNT5A_4	239	248	383	498
CTNNB1_3__0Safe_safe_ACOC_204550.4522	36	36	69	64
CTNNB1_3__0Safe_safe_ACOC_204550.4525	105	107	206	193
CTNNB1_3__0Safe_safe_ACOC_204550.4590	147	126	246	293
CTNNB1_3__0Safe_safe_GE_204550.1561	79	85	130	143
CTNNB1_3__0Safe_safe_GE_204550.1743	54	59	104	131
CTNNB1_3__0Safe_safe_GE_204550.1816	34	31	68	76
CTNNB1_3__0Safe_safe_MP_204550.1197	47	45	96	126
CTNNB1_3__0Safe_safe_MP_204550.1296	30	23	58	63
CTNNB1_3__0Safe_safe_MP_204550.1323	135	126	245	298
CTNNB1_3__0Safe_safe_U3_204550.6027	18	37	66	62
CTNNB1_3__CDK2_1	129	153	181	214
CTNNB1_3__CDK2_2	89	108	155	192
CTNNB1_3__CDK2_3	112	86	172	201
CTNNB1_3__CDK2_4	237	182	306	445
CTNNB1_3__CTNNB1_1	77	82	137	174
CTNNB1_3__CTNNB1_2	61	63	142	168
CTNNB1_3__CTNNB1_3	71	61	139	181
CTNNB1_3__CTNNB1_4	104	104	198	259
CTNNB1_3__ETF1_1	86	85	50	62
CTNNB1_3__ETF1_2	111	106	94	111
CTNNB1_3__ETF1_3	34	43	61	68
CTNNB1_3__ETF1_4	92	75	197	256
CTNNB1_3__EZH2_1	66	66	136	181
CTNNB1_3__EZH2_2	134	101	217	246
CTNNB1_3__EZH2_3	119	102	209	236
CTNNB1_3__EZH2_4	92	94	176	238
CTNNB1_3__HSP90B1_1	126	121	203	254
CTNNB1_3__HSP90B1_2	119	143	202	207
CTNNB1_3__HSP90B1_3	59	63	113	132
CTNNB1_3__HSP90B1_4	35	35	83	74
CTNNB1_3__IGF1R_1	83	94	140	154
CTNNB1_3__IGF1R_2	110	106	161	254
CTNNB1_3__IGF1R_3	269	317	358	428
CTNNB1_3__IGF1R_4	42	28	61	73
CTNNB1_3__MAPK13_1	293	256	564	568
CTNNB1_3__MAPK13_2	85	105	183	217
CTNNB1_3__MAPK13_3	168	169	333	400
CTNNB1_3__MAPK13_4	82	83	158	177
CTNNB1_3__TRIB2_1	87	103	175	233
CTNNB1_3__TRIB2_2	64	64	145	148
CTNNB1_3__TRIB2_3	171	160	305	388
CTNNB1_3__TRIB2_4	103	105	187	233
CTNNB1_3__ULK1_1	56	50	76	111
CTNNB1_3__ULK1_2	87	101	153	177
CTNNB1_3__ULK1_3	62	59	101	112
CTNNB1_3__ULK1_4	136	120	233	278
CTNNB1_3__WNT5A_1	164	124	218	314
CTNNB1_3__WNT5A_2	151	142	237	288
CTNNB1_3__WNT5A_3	77	81	180	215
CTNNB1_3__WNT5A_4	135	103	224	284
CTNNB1_4__0Safe_safe_ACOC_204550.4522	37	28	51	63
CTNNB1_4__0Safe_safe_ACOC_204550.4525	91	87	146	151
CTNNB1_4__0Safe_safe_ACOC_204550.4590	118	120	187	224
CTNNB1_4__0Safe_safe_GE_204550.1561	38	66	92	101
CTNNB1_4__0Safe_safe_GE_204550.1743	42	52	68	97
CTNNB1_4__0Safe_safe_GE_204550.1816	27	27	51	48
CTNNB1_4__0Safe_safe_MP_204550.1197	26	33	56	54
CTNNB1_4__0Safe_safe_MP_204550.1296	22	29	35	52
CTNNB1_4__0Safe_safe_MP_204550.1323	90	101	161	181
CTNNB1_4__0Safe_safe_U3_204550.6027	15	13	37	39
CTNNB1_4__CDK2_1	96	115	116	132
CTNNB1_4__CDK2_2	96	81	88	110
CTNNB1_4__CDK2_3	77	83	110	125
CTNNB1_4__CDK2_4	159	126	235	259
CTNNB1_4__CTNNB1_1	42	58	92	95
CTNNB1_4__CTNNB1_2	49	51	97	109
CTNNB1_4__CTNNB1_3	48	48	106	115
CTNNB1_4__CTNNB1_4	85	82	129	171
CTNNB1_4__ETF1_1	62	68	38	52
CTNNB1_4__ETF1_2	88	97	69	82
CTNNB1_4__ETF1_3	32	33	54	48
CTNNB1_4__ETF1_4	55	68	137	165
CTNNB1_4__EZH2_1	52	51	78	84
CTNNB1_4__EZH2_2	75	89	147	159
CTNNB1_4__EZH2_3	93	91	160	183
CTNNB1_4__EZH2_4	68	66	115	144
CTNNB1_4__HSP90B1_1	68	89	132	152
CTNNB1_4__HSP90B1_2	102	118	115	172
CTNNB1_4__HSP90B1_3	53	56	57	79
CTNNB1_4__HSP90B1_4	27	33	52	70
CTNNB1_4__IGF1R_1	85	72	68	105
CTNNB1_4__IGF1R_2	83	65	105	128
CTNNB1_4__IGF1R_3	214	189	259	288
CTNNB1_4__IGF1R_4	33	36	40	60
CTNNB1_4__MAPK13_1	197	215	376	433
CTNNB1_4__MAPK13_2	84	82	122	123
CTNNB1_4__MAPK13_3	124	114	195	212
CTNNB1_4__MAPK13_4	68	45	92	118
CTNNB1_4__TRIB2_1	60	71	119	127
CTNNB1_4__TRIB2_2	64	71	87	102
CTNNB1_4__TRIB2_3	108	114	186	241
CTNNB1_4__TRIB2_4	76	81	102	133
CTNNB1_4__ULK1_1	29	40	61	87
